id,label
1,deer
2,airplane
3,automobile
4,ship
5,airplane
6,dog
7,cat
8,cat
9,automobile
10,cat
11,bird
12,cat
13,deer
14,frog
15,dog
16,airplane
17,deer
18,deer
19,ship
20,deer
21,bird
22,ship
23,frog
24,automobile
25,frog
26,automobile
27,automobile
28,cat
29,bird
30,dog
31,cat
32,horse
33,dog
34,automobile
35,horse
36,cat
37,dog
38,dog
39,ship
40,dog
41,frog
42,bird
43,frog
44,deer
45,horse
46,automobile
47,frog
48,deer
49,airplane
50,truck
51,frog
52,horse
53,dog
54,frog
55,ship
56,ship
57,frog
58,airplane
59,airplane
60,frog
61,frog
62,dog
63,bird
64,frog
65,ship
66,cat
67,ship
68,ship
69,bird
70,frog
71,truck
72,bird
73,ship
74,cat
75,frog
76,horse
77,airplane
78,frog
79,horse
80,cat
81,bird
82,deer
83,ship
84,horse
85,frog
86,cat
87,dog
88,frog
89,frog
90,truck
91,truck
92,airplane
93,frog
94,horse
95,automobile
96,frog
97,frog
98,bird
99,truck
100,deer
101,deer
102,airplane
103,cat
104,cat
105,ship
106,bird
107,automobile
108,frog
109,frog
110,frog
111,bird
112,cat
113,deer
114,airplane
115,deer
116,horse
117,truck
118,horse
119,ship
120,frog
121,horse
122,automobile
123,horse
124,cat
125,ship
126,cat
127,ship
128,dog
129,airplane
130,frog
131,airplane
132,dog
133,frog
134,truck
135,automobile
136,cat
137,cat
138,frog
139,bird
140,truck
141,frog
142,dog
143,frog
144,deer
145,deer
146,frog
147,frog
148,automobile
149,dog
150,frog
151,ship
152,dog
153,dog
154,ship
155,truck
156,horse
157,ship
158,ship
159,truck
160,deer
161,cat
162,frog
163,frog
164,cat
165,frog
166,automobile
167,frog
168,frog
169,dog
170,frog
171,frog
172,frog
173,dog
174,frog
175,frog
176,ship
177,dog
178,automobile
179,bird
180,automobile
181,frog
182,truck
183,deer
184,frog
185,frog
186,dog
187,ship
188,cat
189,cat
190,airplane
191,automobile
192,ship
193,airplane
194,dog
195,truck
196,frog
197,automobile
198,dog
199,ship
200,frog
201,ship
202,cat
203,airplane
204,cat
205,airplane
206,airplane
207,cat
208,deer
209,frog
210,horse
211,automobile
212,deer
213,cat
214,frog
215,dog
216,deer
217,dog
218,airplane
219,horse
220,ship
221,frog
222,truck
223,dog
224,deer
225,airplane
226,ship
227,horse
228,dog
229,horse
230,horse
231,ship
232,bird
233,deer
234,deer
235,horse
236,frog
237,deer
238,deer
239,truck
240,airplane
241,automobile
242,dog
243,deer
244,cat
245,truck
246,dog
247,bird
248,truck
249,deer
250,ship
251,frog
252,airplane
253,frog
254,airplane
255,cat
256,deer
257,frog
258,ship
259,deer
260,airplane
261,dog
262,automobile
263,horse
264,deer
265,frog
266,deer
267,dog
268,airplane
269,bird
270,truck
271,bird
272,airplane
273,dog
274,cat
275,horse
276,frog
277,frog
278,horse
279,dog
280,frog
281,automobile
282,frog
283,dog
284,truck
285,frog
286,automobile
287,ship
288,truck
289,dog
290,frog
291,automobile
292,bird
293,airplane
294,horse
295,ship
296,frog
297,cat
298,frog
299,ship
300,truck
301,truck
302,frog
303,frog
304,frog
305,frog
306,automobile
307,airplane
308,dog
309,frog
310,dog
311,automobile
312,frog
313,deer
314,truck
315,cat
316,frog
317,dog
318,cat
319,frog
320,frog
321,cat
322,deer
323,automobile
324,dog
325,horse
326,ship
327,frog
328,dog
329,deer
330,truck
331,bird
332,ship
333,bird
334,bird
335,deer
336,deer
337,dog
338,frog
339,deer
340,ship
341,ship
342,frog
343,bird
344,frog
345,ship
346,automobile
347,ship
348,dog
349,horse
350,truck
351,cat
352,truck
353,deer
354,ship
355,ship
356,frog
357,airplane
358,frog
359,airplane
360,frog
361,horse
362,airplane
363,airplane
364,airplane
365,frog
366,frog
367,cat
368,frog
369,ship
370,deer
371,frog
372,dog
373,dog
374,bird
375,truck
376,airplane
377,frog
378,frog
379,automobile
380,dog
381,truck
382,airplane
383,airplane
384,ship
385,frog
386,cat
387,ship
388,cat
389,dog
390,cat
391,frog
392,frog
393,dog
394,frog
395,frog
396,horse
397,frog
398,deer
399,dog
400,deer
401,bird
402,truck
403,deer
404,frog
405,deer
406,airplane
407,automobile
408,truck
409,bird
410,frog
411,horse
412,deer
413,frog
414,airplane
415,automobile
416,frog
417,deer
418,deer
419,bird
420,cat
421,frog
